row_id	family	branch	legacy_l	rotation_form	base_form	state_index	form_selector	epx	epxx	pnmod_input_ll	pnmod_derived_l	pnmod_nfx	pnmod_branch	pnmod_pg1	pnmod_pg2	pnmod_pg3	pnmod_tr_before	pnmod_ti_before	pnmod_tr_after	pnmod_ti_after	pnpwi_ein	pnpwi_postmod_tr	pnpwi_postmod_ti	pnmod_early_return	dispatch_n	dispatch_title	previous_title	effective_e	dither_before	pnpwi_result_tr	pnpwi_result_ti	addresk_nf	addresk_pg1	addresk_pg2	addresk_pg3	addresk_pre_tr	addresk_pre_ti	addresk_post_tr	addresk_post_ti
1	1	1	5	2	5	3	25	0.0000000000000000E+000	0.0000000000000000E+000	4	5	0	0	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0	NA	NA	NA	NA	NA	NA	NA	0	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000
2	1	1	6	2	5	3	25	4.9957183837890625E+001	4.9957183837890625E+001	5	6	0	0	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	4.9957183837890625E+001	0.0000000000000000E+000	0.0000000000000000E+000	0	7	M05	BLANK	4.9958183288574219E+001	1.0000000474974513E-003	6.2733320760344213E-008	3.9354696564563533E-015	0	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	6.2733320760344213E-008	3.9354696564563533E-015	6.2733320760344213E-008	3.9354696564563533E-015
3	1	2	2	2	1	4	21	4.9957183837890625E+001	4.9957183837890625E+001	1	2	0	0	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	4.9957183837890625E+001	0.0000000000000000E+000	0.0000000000000000E+000	0	7	SP00	M05	4.9956184387207031E+001	-1.0000000474974513E-003	1.0080006718635559E-001	1.0266045108437538E-002	0	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	1.0080006718635559E-001	1.0266045108437538E-002	1.0080006718635559E-001	1.0266045108437538E-002
4	1	2	5	2	5	4	25	4.9957183837890625E+001	4.9957183837890625E+001	4	5	0	0	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	4.9957183837890625E+001	0.0000000000000000E+000	0.0000000000000000E+000	0	7	SP00	SP00	4.9957183837890625E+001	1.0000000474974513E-003	-4.8717561185185332E-007	2.3734006838853350E-013	0	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	-4.8717561185185332E-007	2.3734006838853350E-013	-4.8717561185185332E-007	2.3734006838853350E-013
5	1	2	6	2	5	4	25	4.9957183837890625E+001	4.9957183837890625E+001	5	6	0	0	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	4.9957183837890625E+001	0.0000000000000000E+000	0.0000000000000000E+000	0	7	SP00	SP00	4.9957183837890625E+001	1.0000000474974513E-003	1.6130076119225123E-007	2.6017934958181763E-014	0	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	1.6130076119225123E-007	2.6017934958181763E-014	1.6130076119225123E-007	2.6017934958181763E-014
6	2	1	5	2	5	3	25	4.9957183837890625E+001	4.9957183837890625E+001	4	5	0	0	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	4.9957183837890625E+001	0.0000000000000000E+000	0.0000000000000000E+000	0	7	SP00	SP00	4.9957183837890625E+001	1.0000000474974513E-003	1.0293753121004556E-006	1.0596135514157057E-012	0	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	1.0293753121004556E-006	1.0596135514157057E-012	1.0293753121004556E-006	1.0596135514157057E-012
7	2	1	6	2	5	3	25	4.9957183837890625E+001	4.9957183837890625E+001	5	6	0	0	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	4.9957183837890625E+001	0.0000000000000000E+000	0.0000000000000000E+000	0	7	SP00	SP00	4.9957183837890625E+001	1.0000000474974513E-003	6.2727060878842167E-008	3.9346840333977749E-015	0	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	6.2727060878842167E-008	3.9346840333977749E-015	6.2727060878842167E-008	3.9346840333977749E-015
8	2	2	2	2	1	4	21	4.9957183837890625E+001	4.9957183837890625E+001	1	2	0	0	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	4.9957183837890625E+001	0.0000000000000000E+000	0.0000000000000000E+000	0	7	SP00	SP00	4.9957183837890625E+001	1.0000000474974513E-003	1.0080360621213913E-001	1.0266773402690887E-002	0	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	1.0080360621213913E-001	1.0266773402690887E-002	1.0080360621213913E-001	1.0266773402690887E-002
9	2	2	5	2	5	4	25	4.9957183837890625E+001	4.9957183837890625E+001	4	5	0	0	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	4.9957183837890625E+001	0.0000000000000000E+000	0.0000000000000000E+000	0	7	SP00	SP00	4.9957183837890625E+001	1.0000000474974513E-003	-4.8717561185185332E-007	2.3734006838853350E-013	0	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	-4.8717561185185332E-007	2.3734006838853350E-013	-4.8717561185185332E-007	2.3734006838853350E-013
10	2	2	6	2	5	4	25	4.9957183837890625E+001	4.9957183837890625E+001	5	6	0	0	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	4.9957183837890625E+001	0.0000000000000000E+000	0.0000000000000000E+000	0	7	SP00	SP00	4.9957183837890625E+001	1.0000000474974513E-003	1.6130076119225123E-007	2.6017934958181763E-014	0	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	1.6130076119225123E-007	2.6017934958181763E-014	1.6130076119225123E-007	2.6017934958181763E-014
